policy_id,driver_age,gender,driving_experience,vehicle_make,vehicle_model,vehicle_type,vehicle_age,engine_capacity,vehicle_value,county,annual_mileage,previous_claims,claim_amount_history,no_claim_bonus,policy_type,accident_risk_index,theft_risk_index,driver_risk_score,premium_amount
1998,39,Female,21,Toyota,Axio,Hatchback,1,1000,8489010,Nakuru,47343,0,0,1,Third Party,0.68,0.98,58.0,150235.15
1999,67,Female,39,Honda,Fit,SUV,1,3000,1855506,Embu,23007,1,54221,1,Comprehensive,0.59,0.29,42.5,49682.59
2000,43,Female,14,Nissan,Navara,Hatchback,7,1800,5014978,Kajiado,5168,0,0,0,Third Party,0.62,0.52,45.0,98324.67
2001,49,Female,20,Mitsubishi,Pajero,Pickup,3,1200,2225259,Mombasa,26618,1,11573,1,Comprehensive,0.32,0.22,42.0,49378.89
2002,61,Female,39,Subaru,Forester,SUV,1,1300,7462950,Nakuru,36270,2,438004,0,Comprehensive,0.4,0.84,65.8,144444.25
2003,49,Male,29,Nissan,Note,Sedan,18,3000,9929719,Kilifi,51007,2,423116,1,Comprehensive,0.38,0.29,60.2,174645.79
2004,33,Female,12,Mazda,CX5,Sedan,6,1000,8980508,Nairobi,8894,0,0,1,Comprehensive,0.53,0.84,53.7,154857.62
2005,25,Male,0,Mazda,CX5,SUV,0,1800,3857528,Mombasa,39911,1,134361,0,Comprehensive,0.32,0.38,57.2,82462.92
2006,65,Female,39,Mazda,Demio,Pickup,19,3000,2740954,Kakamega,49199,2,47610,1,Third Party,0.49,0.82,66.1,72764.31
2007,27,Male,0,Mitsubishi,Outlander,SUV,2,3000,3074274,Kisumu,56009,2,273532,1,Third Party,0.69,0.9,92.7,85464.11
2008,39,Male,20,Isuzu,Dmax,Hatchback,17,1000,1063720,Kisumu,56457,1,193560,1,Third Party,0.27,0.51,51.3,34105.8
2009,35,Male,10,Subaru,Impreza,Sedan,3,1300,6234094,Bungoma,20973,3,416052,1,Third Party,0.39,0.42,85.1,125561.41
2010,49,Male,23,Subaru,Impreza,Pickup,6,2500,9098029,Bungoma,47425,2,296048,1,Third Party,0.28,0.92,69.8,167570.43
2011,46,Male,24,Mitsubishi,Pajero,Pickup,4,1500,7932413,Nyeri,52732,4,871916,1,Third Party,0.76,0.24,102.1,159386.2
2012,37,Female,18,Mitsubishi,Pajero,Pickup,6,2500,964393,Kilifi,24918,3,468153,0,Third Party,0.77,0.39,94.9,59115.89
2013,34,Male,16,Honda,CRV,Pickup,15,1500,4091640,Kilifi,22127,0,0,1,Comprehensive,0.96,0.44,58.1,83574.6
2014,22,Female,0,Nissan,Navara,Hatchback,12,3000,2454261,Mombasa,46356,2,397696,0,Third Party,0.89,0.64,96.0,81563.92
2015,24,Male,5,Nissan,Xtrail,Pickup,5,1200,6559916,Nakuru,32945,0,0,1,Third Party,0.48,0.32,46.3,113298.74
2016,73,Male,50,Honda,Fit,Pickup,18,1500,1705392,Bungoma,22359,2,119974,1,Comprehensive,0.32,0.9,58.6,51380.88
2017,26,Male,6,Honda,CRV,Sedan,8,1200,6323762,Mombasa,14495,2,221540,0,Third Party,0.26,0.56,73.5,125756.43
2018,27,Male,0,Honda,CRV,Hatchback,17,3000,1119072,Meru,15461,1,34529,1,Comprehensive,0.28,0.79,63.2,42886.08
2019,22,Female,0,Honda,Fit,Sedan,19,2500,2091599,Kajiado,27662,1,191772,1,Comprehensive,0.4,0.89,71.3,60273.99
2020,43,Female,17,Isuzu,Dmax,Sedan,4,2500,3550720,Kajiado,32011,0,0,1,Comprehensive,0.29,0.87,42.1,72610.8
2021,55,Male,28,Mazda,CX5,SUV,2,1000,8770076,Kiambu,17017,0,0,1,Third Party,0.79,0.56,44.9,151201.14
2022,29,Male,1,Isuzu,Dmax,SUV,12,1300,4491960,Embu,38602,1,108896,1,Comprehensive,0.69,0.86,75.9,97229.4
2023,55,Female,27,Mitsubishi,Outlander,SUV,9,1500,7056113,Nakuru,7431,0,0,1,Comprehensive,0.96,0.99,58.6,132441.7
2024,56,Male,28,Isuzu,Dmax,SUV,15,1000,2157643,Kiambu,56179,3,689919,1,Third Party,0.69,0.46,84.4,67514.65
2025,70,Male,46,Honda,Fit,Pickup,15,1200,3224459,Uasin Gishu,10505,0,0,0,Comprehensive,0.89,0.36,36.4,70716.88
2026,54,Male,26,Nissan,Navara,Pickup,15,2000,8737108,Nyeri,8233,0,0,0,Third Party,0.26,0.78,33.9,153156.62
2027,65,Female,41,Mitsubishi,Pajero,SUV,6,3000,1004600,Nairobi,23047,0,0,0,Third Party,0.35,0.77,30.9,36919.0
2028,31,Male,8,Mitsubishi,Pajero,Sedan,5,1500,781981,Machakos,9433,0,0,0,Third Party,0.56,0.98,58.4,39129.71
2029,18,Male,0,Mitsubishi,Outlander,Sedan,14,1000,9402303,Meru,57916,1,190940,0,Comprehensive,0.81,0.74,82.6,176584.54
2030,59,Female,41,Mitsubishi,Pajero,SUV,0,1500,9559503,Mombasa,12771,2,222580,0,Third Party,0.42,0.61,62.8,173692.54
2031,28,Female,6,Mazda,CX5,Pickup,17,3000,6059697,Nakuru,19062,1,17782,1,Third Party,0.61,0.35,63.8,116945.46
2032,30,Male,3,Toyota,Prado,Pickup,15,1000,9276073,Kericho,21877,1,56233,0,Comprehensive,1.0,0.96,86.7,179441.1
2033,66,Female,44,Toyota,Axio,Pickup,7,1500,6715267,Bungoma,43022,2,90568,1,Third Party,0.9,0.28,67.1,129629.01
2034,32,Male,8,Nissan,Xtrail,Hatchback,14,1000,9983138,Kericho,18725,1,184115,0,Comprehensive,0.47,0.46,59.8,176597.07
2035,28,Male,3,Isuzu,Dmax,Sedan,1,1500,1162447,Uasin Gishu,16323,0,0,1,Third Party,0.31,0.47,42.2,31486.71
2036,38,Female,9,Subaru,Forester,Hatchback,5,3000,5102848,Kericho,12676,0,0,0,Third Party,0.58,0.68,49.5,104142.72
2037,20,Female,0,Isuzu,Dmax,Hatchback,14,1000,8213741,Bungoma,31620,1,93335,1,Comprehensive,0.66,0.84,79.1,152506.11
2038,69,Male,46,Toyota,Corolla,Sedan,0,1500,6612625,Meru,35373,0,0,0,Third Party,0.48,0.24,22.2,114189.38
2039,24,Male,0,Mitsubishi,Pajero,Hatchback,16,3000,2944987,Kilifi,11575,3,293826,0,Comprehensive,0.29,0.46,88.4,84124.8
2040,26,Male,3,Mitsubishi,Outlander,Sedan,12,1000,7261635,Embu,11625,3,605205,0,Third Party,0.45,0.22,87.4,145574.52
2041,47,Female,23,Nissan,Xtrail,Hatchback,13,1300,3383180,Kilifi,10156,1,225342,1,Comprehensive,0.38,0.64,53.2,71547.7
2042,41,Male,18,Nissan,Note,Pickup,2,1200,3002348,Nairobi,49767,1,169266,0,Third Party,0.21,0.39,46.1,66285.22
2043,71,Female,42,Toyota,Corolla,SUV,7,3000,8571914,Meru,56603,0,0,1,Comprehensive,0.92,0.57,41.0,151878.71
2044,38,Male,17,Mitsubishi,Outlander,Hatchback,7,2000,7166968,Kisumu,59594,1,98545,1,Comprehensive,0.4,0.64,58.3,132204.52
2045,44,Male,17,Mitsubishi,Pajero,SUV,1,2000,9545310,Kiambu,25013,2,422586,1,Third Party,0.77,0.43,77.2,177329.65
2046,71,Female,42,Mitsubishi,Outlander,Pickup,16,3000,5744429,Kisumu,31372,1,211196,0,Third Party,0.58,0.7,48.4,116666.43
2047,21,Male,0,Nissan,Xtrail,Hatchback,8,1000,8342434,Nyeri,58516,2,172800,0,Third Party,0.77,0.37,87.5,162386.51
2048,34,Female,10,Honda,Fit,Pickup,1,1500,4365156,Kiambu,34487,0,0,0,Third Party,0.57,0.22,42.0,85227.34
2049,31,Male,3,Toyota,Prado,Hatchback,5,3000,4494360,Kiambu,51741,0,0,1,Comprehensive,0.77,0.89,62.9,95565.4
2050,35,Male,16,Mazda,CX5,SUV,1,1300,9390524,Mombasa,51775,0,0,0,Third Party,0.69,0.7,54.7,166607.86
2051,66,Male,41,Isuzu,Dmax,Pickup,15,1000,5247950,Kisumu,46715,3,725205,0,Third Party,0.64,0.76,83.9,119819.25
2052,63,Female,40,Honda,Fit,Hatchback,19,1200,5331470,Kakamega,48798,0,0,1,Comprehensive,1.0,0.35,43.0,99472.05
2053,36,Male,15,Subaru,Forester,Pickup,1,3000,7684860,Bungoma,12228,1,83803,0,Third Party,0.24,0.97,61.1,146072.9
2054,42,Female,15,Subaru,Impreza,Sedan,5,1500,4839205,Nyeri,30178,1,119768,0,Third Party,0.22,0.32,44.5,93588.07
2055,57,Female,32,Toyota,Prado,Pickup,13,3000,3168149,Kericho,15078,1,241673,0,Third Party,0.63,0.45,51.9,77272.24
2056,45,Female,17,Toyota,Harrier,Hatchback,9,2500,7594216,Uasin Gishu,18531,1,115806,1,Third Party,0.7,0.32,57.4,139913.24
2057,51,Male,28,Mazda,CX5,Pickup,1,1200,4747411,Kiambu,43217,2,257806,0,Third Party,0.22,0.58,60.2,99511.16
2058,30,Male,7,Isuzu,Dmax,SUV,0,1200,8547108,Nakuru,36476,1,242627,0,Third Party,0.94,0.29,71.5,160506.62
2059,29,Female,4,Mitsubishi,Outlander,Pickup,8,1200,937723,Embu,45330,0,0,1,Comprehensive,0.29,0.26,36.9,25615.85
2060,52,Female,34,Honda,Fit,SUV,16,1300,2456178,Machakos,5488,1,107366,0,Third Party,0.25,0.59,45.8,59092.67
2061,27,Female,2,Honda,Fit,Hatchback,9,1800,8139385,Kilifi,48026,0,0,0,Third Party,0.83,0.73,63.5,151640.77
2062,64,Female,43,Toyota,Prado,Pickup,4,1300,9081456,Kilifi,27972,0,0,1,Comprehensive,0.66,0.52,35.7,152021.84
2063,56,Male,38,Nissan,Note,SUV,16,1800,8646880,Kilifi,45449,4,138080,1,Third Party,0.8,0.46,102.7,171503.2
2064,70,Male,51,Mazda,Demio,Hatchback,2,2500,7995726,Uasin Gishu,58219,1,123827,0,Comprehensive,0.57,0.26,39.8,144985.89
2065,58,Female,31,Nissan,Navara,SUV,9,1300,3332882,Nakuru,48634,0,0,0,Third Party,0.49,0.56,34.4,69843.23
2066,56,Male,30,Nissan,Note,Pickup,0,1300,5613784,Kisumu,28527,2,129644,0,Third Party,0.31,0.6,60.8,113856.76
2067,55,Female,29,Isuzu,Dmax,Pickup,10,1800,7052875,Kajiado,47346,0,0,0,Third Party,0.49,0.76,39.9,127843.12
2068,51,Female,30,Honda,CRV,Sedan,4,2500,8702892,Nakuru,8423,2,417880,0,Comprehensive,0.64,0.95,80.2,171643.38
2069,50,Female,25,Mazda,Demio,Hatchback,9,1800,5831588,Kakamega,38064,1,47962,0,Third Party,0.99,0.86,74.4,124423.82
2070,70,Female,49,Mitsubishi,Outlander,Hatchback,16,1800,7613589,Nakuru,17554,0,0,1,Comprehensive,0.28,0.4,18.9,122503.83
2071,46,Male,24,Isuzu,Dmax,Hatchback,10,2500,1224178,Kisumu,47331,2,194362,1,Comprehensive,0.61,0.7,76.8,52112.67
2072,58,Male,39,Nissan,Xtrail,Pickup,10,1500,3616627,Kiambu,35741,2,159482,0,Comprehensive,0.73,0.64,73.2,89699.4
2073,47,Male,18,Honda,Fit,Hatchback,18,3000,6859716,Kajiado,5761,2,468854,0,Comprehensive,0.84,0.93,87.8,147995.74
2074,38,Female,11,Subaru,Forester,Sedan,15,2500,1514844,Meru,16685,0,0,0,Comprehensive,0.53,0.55,45.4,48072.66
2075,28,Male,7,Nissan,Navara,Hatchback,16,1200,8870018,Kakamega,53049,3,652989,0,Third Party,0.49,0.81,99.4,175800.27
2076,18,Male,0,Honda,CRV,Hatchback,14,1500,7369395,Machakos,28234,1,73073,0,Comprehensive,0.41,0.94,74.6,142090.92
2077,19,Male,0,Toyota,Harrier,Hatchback,12,1000,629649,Embu,30460,2,284892,1,Comprehensive,0.56,0.51,85.0,39944.74
2078,69,Male,41,Nissan,Navara,Sedan,12,1800,7478559,Kisumu,49196,2,215864,1,Third Party,0.99,0.99,82.5,149828.39
2079,50,Male,28,Mazda,Demio,Pickup,4,3000,8624440,Kericho,39994,0,0,1,Comprehensive,0.36,0.77,38.7,147666.6
2080,53,Female,24,Toyota,Prado,Sedan,17,1500,9571172,Machakos,39961,2,385536,1,Third Party,0.6,0.27,64.4,169867.58
2081,36,Male,17,Mazda,CX5,SUV,1,1500,9294586,Kajiado,40077,2,253422,0,Third Party,0.9,0.98,96.1,183018.79
2082,58,Female,29,Mitsubishi,Pajero,Pickup,17,2500,9511109,Kajiado,58270,0,0,1,Third Party,0.36,0.69,33.1,160066.63
2083,22,Male,3,Subaru,Forester,SUV,9,3000,9946158,Kiambu,56694,0,0,1,Comprehensive,0.49,0.8,57.2,172242.37
2084,67,Female,38,Isuzu,Dmax,Pickup,7,3000,997757,Bungoma,24749,0,0,1,Comprehensive,0.45,0.78,33.1,33716.35
2085,38,Female,12,Nissan,Navara,Sedan,12,1800,3943688,Kericho,16735,1,114082,0,Comprehensive,0.21,0.56,51.0,82705.32
2086,22,Male,0,Isuzu,Dmax,SUV,5,2500,1423124,Kilifi,38655,0,0,0,Comprehensive,0.21,0.45,41.8,41996.86
2087,61,Male,38,Subaru,Impreza,Hatchback,12,2000,4586630,Nyeri,13900,4,507484,0,Third Party,0.31,0.25,81.3,109149.45
2088,64,Male,43,Isuzu,Dmax,Hatchback,5,3000,6119133,Nakuru,6237,2,92652,1,Third Party,0.73,0.46,66.6,123036.99
2089,35,Male,6,Isuzu,Dmax,Hatchback,14,1000,618862,Kakamega,8182,2,285974,0,Comprehensive,0.55,0.3,72.5,41932.93
2090,48,Female,21,Toyota,Prado,Sedan,0,1000,9068255,Kericho,6262,2,26936,1,Comprehensive,0.31,0.98,72.4,165373.82
2091,53,Female,24,Honda,CRV,Pickup,3,1300,8534489,Meru,59757,1,170034,0,Comprehensive,0.86,0.49,61.6,159417.33
2092,52,Male,31,Honda,Fit,Sedan,16,1800,6337240,Kericho,39558,0,0,1,Third Party,0.84,0.38,44.3,113358.6
2093,68,Male,42,Nissan,Xtrail,Sedan,5,2000,2309414,Bungoma,23939,1,12482,1,Third Party,0.74,0.87,58.1,64241.21
2094,38,Male,16,Toyota,Prado,SUV,12,1200,5260668,Nakuru,43822,0,0,0,Comprehensive,0.38,0.35,36.9,96510.02
2095,39,Female,18,Mazda,Demio,Hatchback,0,1500,9916770,Nairobi,50311,0,0,1,Comprehensive,0.33,0.32,34.3,160101.55
2096,46,Female,20,Mitsubishi,Outlander,SUV,6,1800,3353569,Embu,32552,2,339894,1,Comprehensive,0.3,0.37,60.9,73503.54
2097,26,Male,0,Nissan,Xtrail,Hatchback,3,2500,978794,Meru,45314,0,0,1,Third Party,0.28,0.32,39.3,30081.91
2098,29,Female,3,Honda,Fit,Pickup,10,1800,5960505,Mombasa,13390,2,116392,1,Comprehensive,0.64,0.83,88.8,124007.57
2099,25,Female,4,Honda,Fit,Hatchback,1,2500,2223625,Kilifi,17167,0,0,1,Comprehensive,0.53,0.7,54.9,55904.38
2100,71,Male,51,Isuzu,Dmax,Sedan,10,1300,2897192,Mombasa,38314,1,248374,0,Third Party,0.96,0.31,52.0,71857.88
2101,23,Male,1,Mitsubishi,Outlander,SUV,13,1300,5580549,Kajiado,31272,1,134878,0,Comprehensive,0.66,0.38,68.4,113308.24
2102,34,Male,12,Isuzu,Dmax,SUV,7,1800,6264791,Nairobi,48293,0,0,1,Comprehensive,0.97,0.32,56.0,115521.86
2103,36,Male,10,Toyota,Axio,SUV,1,2000,2071571,Machakos,11386,1,201838,1,Comprehensive,0.72,0.6,68.1,60873.57
2104,43,Female,21,Isuzu,Dmax,SUV,3,2500,6999873,Bungoma,50382,1,66625,1,Third Party,0.37,0.95,61.1,131948.1
2105,73,Female,55,Nissan,Note,Hatchback,19,2000,3748788,Kakamega,51923,1,17012,0,Third Party,0.4,0.38,35.6,79531.82
2106,46,Female,28,Subaru,Impreza,Hatchback,14,2000,1071935,Bungoma,14515,0,0,1,Third Party,0.74,0.82,53.1,40579.03
2107,29,Male,9,Subaru,Forester,SUV,16,2000,9871472,Kericho,50594,1,172806,1,Third Party,0.37,0.51,59.3,171822.08
2108,71,Male,46,Mazda,CX5,Hatchback,15,2500,8808394,Nakuru,31888,3,557169,0,Comprehensive,0.74,0.55,80.2,175125.91
2109,57,Male,30,Toyota,Prado,Sedan,18,1800,7034822,Nakuru,10804,2,176696,0,Third Party,0.6,0.32,63.4,136722.33
2110,30,Male,12,Mitsubishi,Pajero,Sedan,7,1800,2889496,Uasin Gishu,41516,2,142480,0,Comprehensive,0.25,0.66,73.2,74492.44
2111,59,Female,32,Isuzu,Dmax,Sedan,14,1500,4436363,Meru,5424,1,106878,0,Comprehensive,0.67,0.73,57.7,96695.44
2112,54,Male,30,Mitsubishi,Outlander,Pickup,11,1500,8099205,Meru,24650,1,72453,1,Comprehensive,0.36,0.82,52.7,143088.08
2113,68,Male,46,Isuzu,Dmax,Sedan,17,1000,6402164,Machakos,7843,1,236709,1,Third Party,0.68,0.5,48.9,117632.46
2114,69,Female,48,Isuzu,Dmax,Hatchback,9,1200,7812813,Machakos,34415,3,290886,0,Comprehensive,0.65,0.72,81.9,157342.2
2115,30,Female,2,Mitsubishi,Outlander,Sedan,19,1300,3929167,Nairobi,42886,6,398622,1,Comprehensive,0.34,0.37,130.1,108537.51
2116,74,Male,56,Mazda,CX5,Hatchback,12,3000,9089215,Nyeri,55327,0,0,1,Comprehensive,0.52,0.68,29.7,153338.23
2117,43,Female,22,Isuzu,Dmax,Pickup,16,1000,4557044,Embu,55929,1,118947,0,Third Party,0.81,0.79,71.1,102205.66
2118,56,Male,30,Mitsubishi,Pajero,SUV,0,1500,3058970,Kericho,14151,1,165613,0,Comprehensive,0.74,0.93,65.3,79284.55
2119,69,Male,41,Isuzu,Dmax,Sedan,14,1300,6805494,Kakamega,52284,1,245553,0,Third Party,0.33,0.65,40.9,125432.41
2120,22,Female,0,Toyota,Axio,Sedan,7,2000,6074612,Embu,30755,3,422235,0,Comprehensive,0.3,0.84,97.3,135019.18
2121,45,Female,20,Isuzu,Dmax,Hatchback,18,1800,8100442,Meru,47836,1,161832,1,Comprehensive,0.31,0.81,55.5,143256.63
2122,28,Male,5,Mitsubishi,Outlander,Hatchback,8,3000,5559523,Mombasa,10025,0,0,0,Comprehensive,0.65,0.41,51.2,109742.85
2123,47,Female,26,Toyota,Corolla,Sedan,16,1500,4983163,Kakamega,36490,0,0,1,Third Party,0.35,0.44,33.3,86797.44
2124,41,Female,16,Honda,CRV,Hatchback,13,1500,6841612,Kisumu,38055,1,21829,0,Comprehensive,0.62,0.25,55.6,128824.18
2125,57,Female,28,Subaru,Impreza,SUV,1,1500,6389671,Nairobi,45911,1,174451,1,Comprehensive,0.8,0.89,65.8,124945.07
2126,72,Male,54,Mitsubishi,Pajero,SUV,16,2500,4962995,Mombasa,35253,0,0,0,Third Party,0.39,0.6,25.2,93894.93
2127,64,Male,45,Isuzu,Dmax,Pickup,10,1500,7192923,Kakamega,23643,1,116485,0,Comprehensive,0.32,0.52,40.5,129393.85
2128,47,Male,29,Subaru,Impreza,Pickup,0,2500,3421754,Nyeri,30939,4,203080,1,Third Party,0.74,0.24,101.0,93926.31
2129,39,Female,21,Nissan,Xtrail,Pickup,14,1300,1234260,Kisumu,26971,0,0,1,Third Party,0.33,0.92,46.3,35563.9
2130,25,Female,0,Mazda,CX5,Pickup,13,1200,2594582,Bungoma,37989,0,0,0,Comprehensive,0.69,0.47,55.1,63968.73
2131,66,Male,44,Honda,Fit,Pickup,6,2000,954405,Kakamega,26077,1,28982,1,Third Party,0.4,0.78,47.1,37716.07
2132,47,Female,24,Isuzu,Dmax,SUV,2,1000,8831040,Kajiado,55706,0,0,0,Comprehensive,0.97,0.4,51.1,158615.6
2133,29,Female,9,Toyota,Corolla,SUV,19,1800,9417736,Nairobi,20151,4,171904,0,Third Party,0.89,0.7,123.7,194716.04
2134,62,Female,39,Toyota,Prado,Hatchback,8,1300,6863916,Nyeri,27622,3,409545,1,Third Party,0.86,0.81,93.5,143058.74
2135,67,Male,42,Toyota,Axio,Sedan,19,3000,2638322,Machakos,16659,1,11634,1,Third Party,0.39,0.49,40.5,60124.83
2136,24,Male,4,Honda,CRV,Pickup,11,3000,453816,Kilifi,35396,0,0,0,Third Party,0.42,0.32,44.5,28907.24
2137,43,Male,19,Mitsubishi,Outlander,Pickup,1,2000,1752397,Mombasa,45707,1,103079,1,Third Party,0.87,0.34,63.9,54835.96
2138,64,Female,46,Mazda,Demio,Sedan,11,1300,4821586,Nakuru,55250,0,0,0,Third Party,0.42,0.4,26.1,88023.79
2139,70,Female,48,Mitsubishi,Pajero,Hatchback,15,1500,9392713,Nakuru,10461,0,0,0,Comprehensive,0.75,0.24,29.8,159740.7
2140,24,Male,0,Mazda,CX5,SUV,11,1300,6529072,Nyeri,30960,1,117918,0,Third Party,0.28,0.88,66.5,126936.08
2141,55,Female,28,Nissan,Xtrail,Hatchback,18,1800,5490477,Kajiado,23114,2,67090,0,Third Party,0.88,0.84,83.2,123157.15
2142,57,Male,29,Isuzu,Dmax,Sedan,9,1200,8547243,Kakamega,17860,1,94766,0,Third Party,0.75,0.47,55.9,157258.64
2143,71,Male,51,Subaru,Impreza,Sedan,2,2500,738804,Kiambu,20933,1,228252,0,Comprehensive,0.68,0.97,56.8,44882.06
2144,49,Male,29,Isuzu,Dmax,Sedan,19,1200,4832209,Kakamega,45472,0,0,1,Third Party,0.46,0.66,40.0,88083.13
2145,47,Male,27,Honda,CRV,Pickup,17,1300,6075469,Kiambu,23936,3,478911,1,Comprehensive,0.3,0.81,84.2,124032.04
2146,28,Male,4,Mitsubishi,Pajero,Hatchback,12,1800,3072180,Uasin Gishu,43720,2,471012,0,Comprehensive,0.29,0.78,77.8,79832.7
2147,56,Female,38,Honda,CRV,Sedan,18,2500,339906,Meru,12662,1,222512,1,Comprehensive,0.47,0.2,42.6,24348.59
2148,24,Male,0,Nissan,Navara,Sedan,1,1000,1968416,Embu,38749,2,125620,1,Comprehensive,0.47,0.85,86.6,62076.24
2149,58,Female,35,Mazda,CX5,Pickup,2,1000,7652882,Nyeri,17601,0,0,1,Third Party,0.85,0.26,39.2,131643.23
2150,36,Male,7,Isuzu,Dmax,Pickup,4,2500,3783476,Kericho,14805,0,0,0,Third Party,0.81,0.56,55.0,86802.14
2151,25,Female,1,Nissan,Note,Pickup,12,2000,1096434,Uasin Gishu,53586,1,37048,0,Comprehensive,0.28,0.38,56.0,43346.51
2152,47,Female,21,Mazda,Demio,Sedan,6,2000,8216954,Nyeri,31545,2,473370,1,Third Party,0.56,0.42,69.2,153754.31
2153,72,Male,50,Toyota,Prado,Sedan,8,1200,4861699,Kilifi,18790,2,172560,1,Third Party,0.92,0.2,63.1,100725.49
2154,22,Male,0,Toyota,Corolla,SUV,5,1300,1375497,Uasin Gishu,59551,0,0,1,Third Party,0.44,0.31,45.9,35332.46
2155,32,Male,6,Mitsubishi,Outlander,SUV,5,1500,4676401,Uasin Gishu,27486,0,0,1,Third Party,0.93,0.67,62.8,95196.01
2156,62,Male,44,Nissan,Note,SUV,17,2000,8118594,Nyeri,5528,1,97941,1,Third Party,0.47,0.76,50.8,146028.91
2157,50,Female,26,Mazda,CX5,Hatchback,15,1800,6419491,Kilifi,23026,1,49767,1,Third Party,0.56,0.89,62.1,121992.36
2158,69,Male,50,Mazda,Demio,SUV,6,1800,4915026,Machakos,47296,0,0,1,Comprehensive,0.3,0.56,23.2,83825.39
2159,44,Female,19,Honda,Fit,Hatchback,0,1500,3825154,Nakuru,17129,1,39402,1,Third Party,0.27,0.63,51.2,76827.31
2160,47,Female,20,Subaru,Impreza,Sedan,19,3000,7994481,Machakos,32384,0,0,1,Third Party,0.9,0.98,60.6,149217.21
2161,25,Male,5,Honda,Fit,Sedan,9,1300,6744429,Kiambu,54966,0,0,0,Comprehensive,0.85,0.99,70.3,133316.43
2162,41,Male,18,Nissan,Note,Pickup,2,1800,1392491,Meru,58780,3,738393,1,Comprehensive,0.41,0.3,80.3,51237.36
2163,26,Male,0,Honda,Fit,Pickup,11,3000,5535399,Kajiado,40744,2,77114,1,Third Party,0.76,0.86,94.5,123030.99
2164,64,Female,37,Mitsubishi,Outlander,Hatchback,16,1000,2053787,Bungoma,58244,2,477834,1,Comprehensive,0.92,0.23,67.7,60206.8
2165,63,Male,39,Nissan,Xtrail,Hatchback,9,2500,858335,Kilifi,11538,4,352264,0,Third Party,0.65,0.92,103.9,64925.02
2166,37,Female,16,Mitsubishi,Pajero,Sedan,7,3000,9927680,Kakamega,5809,1,95898,1,Third Party,0.23,0.77,56.3,172465.2
2167,53,Female,34,Mitsubishi,Outlander,SUV,6,1500,5915827,Nakuru,16403,2,45166,1,Comprehensive,0.35,0.39,59.3,111487.4
2168,41,Male,13,Mazda,Demio,Sedan,16,3000,4576455,Kiambu,36589,1,116053,1,Third Party,0.27,0.91,58.3,94496.82
2169,64,Male,38,Mitsubishi,Outlander,Hatchback,2,1200,9743793,Kericho,52397,0,0,1,Comprehensive,0.68,0.92,44.3,166756.89
2170,35,Female,11,Mitsubishi,Pajero,Hatchback,9,3000,7870007,Kakamega,18133,1,233573,1,Third Party,0.27,0.44,51.9,139400.1
2171,32,Female,9,Mitsubishi,Outlander,Pickup,8,1200,9603472,Kiambu,43221,2,477164,1,Comprehensive,0.86,0.74,92.1,180452.08
2172,36,Female,17,Toyota,Corolla,Hatchback,14,1800,568860,Machakos,21088,0,0,1,Comprehensive,0.86,0.82,61.7,32932.9
2173,59,Female,36,Honda,Fit,Sedan,12,2500,1351897,Bungoma,49541,3,452934,1,Third Party,0.48,0.85,84.4,58378.46
2174,25,Female,5,Nissan,Note,Hatchback,18,2500,8351545,Kajiado,35571,2,216632,0,Comprehensive,0.48,0.79,85.2,164873.17
2175,56,Male,37,Nissan,Navara,Sedan,2,1000,3326588,Kajiado,16766,3,651906,0,Third Party,0.92,0.81,98.3,96098.82
2176,36,Female,15,Honda,Fit,SUV,18,1200,6127829,Kakamega,48352,1,241461,0,Comprehensive,0.55,0.99,70.8,124567.43
2177,53,Male,29,Mazda,CX5,Hatchback,3,1300,1149277,Kajiado,29150,0,0,0,Third Party,0.3,0.92,38.4,38039.15
2178,45,Female,22,Isuzu,Dmax,Sedan,1,1500,7408384,Nyeri,22806,1,29465,1,Third Party,0.88,0.71,70.6,140225.76
2179,28,Male,3,Isuzu,Dmax,SUV,7,2000,7886533,Kilifi,32982,0,0,0,Comprehensive,0.22,0.94,48.9,143697.99
2180,61,Female,40,Subaru,Forester,Hatchback,0,1300,7142454,Kericho,46387,2,67612,1,Third Party,0.41,0.93,67.9,135586.81
2181,69,Female,46,Subaru,Forester,SUV,17,1500,9295227,Nairobi,27474,1,98762,0,Third Party,0.4,0.53,40.6,162128.4
2182,62,Female,43,Mazda,CX5,Hatchback,12,2500,3745924,Meru,28265,4,938204,0,Third Party,0.84,0.51,101.9,106588.86
2183,59,Female,40,Nissan,Navara,Pickup,2,1800,6170128,Kilifi,17410,2,330488,1,Third Party,0.46,0.26,57.0,115051.92
2184,44,Male,22,Nissan,Navara,Pickup,16,1200,1928932,Nyeri,23113,0,0,0,Third Party,0.69,0.58,47.8,52883.98
2185,65,Female,46,Mitsubishi,Outlander,SUV,15,1800,9973859,Kakamega,28840,0,0,1,Comprehensive,0.48,0.74,34.2,164607.88
2186,21,Male,0,Isuzu,Dmax,Sedan,2,1000,9236259,Kisumu,22085,3,381477,0,Comprehensive,0.58,0.24,94.2,177643.89
2187,54,Male,27,Toyota,Corolla,Pickup,4,1500,8196032,Nairobi,24324,3,531633,1,Comprehensive,0.6,0.31,79.7,155340.48
2188,63,Male,34,Nissan,Xtrail,Sedan,12,1800,5247349,Bungoma,9125,0,0,0,Third Party,0.42,0.76,33.8,99210.24
